"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","TMAX","TMIN","TOBS"
"USC00186350","38.9133","-76.97","15.2","1949-06-30","76","65","76"
"USC00186350","38.9133","-76.97","15.2","1949-07-01","81","58","77"
"USC00186350","38.9133","-76.97","15.2","1949-07-02","85","67","85"
"USC00186350","38.9133","-76.97","15.2","1949-07-03","92","65","90"
"USC00186350","38.9133","-76.97","15.2","1949-07-04","95","71","94"
"USC00186350","38.9133","-76.97","15.2","1949-07-05","99","75","99"
"USC00186350","38.9133","-76.97","15.2","1949-07-06","99","76","97"
"USC00186350","38.9133","-76.97","15.2","1949-07-07","98","70","72"
"USC00186350","38.9133","-76.97","15.2","1949-07-08","85","65","84"
"USC00186350","38.9133","-76.97","15.2","1949-07-09","85","62","83"
"USC00186350","38.9133","-76.97","15.2","1949-07-10","83","67","80"
"USC00186350","38.9133","-76.97","15.2","1949-07-11","89","68","88"
"USC00186350","38.9133","-76.97","15.2","1949-07-12","88","71","83"
"USC00186350","38.9133","-76.97","15.2","1949-07-13","83","71","80"
"USC00186350","38.9133","-76.97","15.2","1949-07-14","87","69","82"
"USC00186350","38.9133","-76.97","15.2","1949-07-15","86","68","86"
"USC00186350","38.9133","-76.97","15.2","1949-07-16","87","72","81"
"USC00186350","38.9133","-76.97","15.2","1949-07-17","85","72","85"
"USC00186350","38.9133","-76.97","15.2","1949-07-18","89","73","87"
"USC00186350","38.9133","-76.97","15.2","1949-07-19","89","73","88"
"USC00186350","38.9133","-76.97","15.2","1949-07-20","91","73","91"
"USC00186350","38.9133","-76.97","15.2","1949-07-21","93","75","88"
"USC00186350","38.9133","-76.97","15.2","1949-07-22","95","71","94"
"USC00186350","38.9133","-76.97","15.2","1949-07-23","95","76","93"
"USC00186350","38.9133","-76.97","15.2","1949-07-24","93","62","88"
"USC00186350","38.9133","-76.97","15.2","1949-07-25","95","68","95"
"USC00186350","38.9133","-76.97","15.2","1949-07-26","96","75","91"
"USC00186350","38.9133","-76.97","15.2","1949-07-27","97","73","95"
"USC00186350","38.9133","-76.97","15.2","1949-07-28","97","76","96"
"USC00186350","38.9133","-76.97","15.2","1949-07-29","98","77","97"
"USC00186350","38.9133","-76.97","15.2","1949-07-30","98","76","96"
"USC00186350","38.9133","-76.97","15.2","1949-07-31","96","70","81"
"USC00186350","38.9133","-76.97","15.2","1949-08-01","87","65","85"
"USC00186350","38.9133","-76.97","15.2","1949-08-02","89","69","89"
"USC00186350","38.9133","-76.97","15.2","1949-08-03","92","70","89"
"USC00186350","38.9133","-76.97","15.2","1949-08-04","92","72","85"
"USC00186350","38.9133","-76.97","15.2","1949-08-05","88","71","86"
"USC00186350","38.9133","-76.97","15.2","1949-08-06","90","63","85"
"USC00186350","38.9133","-76.97","15.2","1949-08-07","90","67","88"
"USC00186350","38.9133","-76.97","15.2","1949-08-08","92","65","91"
"USC00186350","38.9133","-76.97","15.2","1949-08-09","95","69","94"
"USC00186350","38.9133","-76.97","15.2","1949-08-10","98","72","98"
"USC00186350","38.9133","-76.97","15.2","1949-08-11","99","69","97"
"USC00186350","38.9133","-76.97","15.2","1949-08-12","98","72","93"
"USC00186350","38.9133","-76.97","15.2","1949-08-13","93","69","84"
"USC00186350","38.9133","-76.97","15.2","1949-08-14","84","71","81"
"USC00186350","38.9133","-76.97","15.2","1949-08-15","81","65","74"
"USC00186350","38.9133","-76.97","15.2","1949-08-16","87","63","86"
"USC00186350","38.9133","-76.97","15.2","1949-08-17","86","64","81"
"USC00186350","38.9133","-76.97","15.2","1949-08-18","81","62","71"
"USC00186350","38.9133","-76.97","15.2","1949-08-19","82","61","79"
